#TimeHarp 200  Histogram Data			18.01.2018 16:24:00
#channels per curve
2037
#display curve no.
1	2	3	5	
#memory block no.
1	2	3	5	
#ns/channel
0.2946	0.2946	0.2946	0.2946	
#counts
34	149	310	308	
36	151	300	328	
30	134	296	335	
33	141	311	294	
32	153	275	322	
45	149	295	338	
32	139	282	315	
28	129	280	302	
39	148	299	336	
24	172	298	330	
34	124	285	320	
36	155	282	319	
36	138	283	323	
32	142	301	331	
40	160	276	338	
29	156	266	322	
37	136	279	296	
29	151	292	318	
43	146	298	354	
27	138	296	311	
37	121	299	343	
32	155	291	314	
35	161	259	328	
31	130	284	329	
36	147	285	303	
39	161	304	316	
31	148	281	329	
34	153	303	318	
28	154	272	339	
37	146	288	329	
39	151	293	331	
26	128	266	336	
37	150	291	313	
51	148	274	315	
44	151	323	328	
30	160	281	333	
39	147	280	304	
45	137	282	330	
35	151	306	324	
40	150	289	341	
39	149	285	309	
21	141	286	321	
42	144	294	340	
45	149	319	318	
43	159	278	364	
29	151	274	348	
41	155	300	344	
39	139	278	327	
29	149	286	321	
28	158	264	316	
45	168	303	318	
35	151	282	323	
35	151	304	315	
32	166	270	325	
34	150	284	346	
50	146	252	316	
39	155	281	301	
39	153	268	333	
28	127	305	332	
31	151	310	338	
42	141	280	304	
23	135	284	332	
31	148	286	345	
24	137	296	345	
41	163	296	332	
39	162	290	297	
43	161	279	347	
42	153	282	323	
42	146	299	301	
31	121	299	267	
28	137	302	327	
51	148	287	334	
44	165	273	326	
33	139	267	332	
41	150	270	313	
40	181	301	338	
32	151	281	349	
34	137	268	341	
41	153	274	298	
36	182	290	298	
36	144	276	343	
43	140	289	303	
43	145	278	297	
35	189	296	338	
30	158	298	328	
34	132	280	314	
28	143	305	314	
43	144	302	356	
42	137	299	337	
41	169	284	318	
38	147	294	298	
33	139	279	310	
35	153	286	365	
42	166	295	320	
32	137	305	326	
41	134	318	332	
37	165	292	335	
30	134	273	317	
32	133	300	317	
44	151	314	301	
43	159	259	324	
42	143	264	310	
31	146	276	363	
29	149	286	305	
46	181	313	337	
26	151	317	330	
34	154	286	326	
27	135	302	335	
37	148	318	329	
38	150	307	300	
27	133	298	305	
46	140	280	317	
37	163	303	310	
44	170	296	323	
28	159	285	322	
33	134	259	295	
43	147	299	353	
34	147	307	334	
36	145	267	327	
40	147	282	301	
38	148	282	340	
35	138	310	346	
33	151	257	347	
34	168	275	354	
34	158	313	353	
44	150	337	363	
39	129	262	335	
34	136	271	319	
44	151	281	322	
28	132	304	346	
29	131	274	310	
32	141	270	306	
33	159	294	357	
30	153	360	400	
40	132	289	324	
38	144	305	328	
30	138	283	340	
41	161	256	336	
31	144	288	323	
36	134	254	308	
34	135	285	333	
37	161	323	358	
28	136	297	318	
41	147	305	301	
34	154	292	353	
44	142	291	343	
35	147	277	347	
27	166	271	299	
44	149	280	316	
38	149	298	353	
42	135	302	325	
40	145	303	317	
34	149	280	311	
36	166	304	329	
25	149	266	344	
44	149	269	337	
41	153	246	338	
37	173	314	356	
51	144	321	327	
25	153	267	300	
34	138	279	325	
35	171	275	371	
33	137	319	325	
43	150	280	286	
42	141	303	311	
35	169	262	335	
39	147	290	336	
31	138	306	314	
39	152	288	310	
36	142	278	301	
38	147	309	338	
30	140	298	337	
30	167	265	298	
39	144	297	356	
30	156	298	344	
33	141	274	348	
41	117	278	353	
45	149	274	351	
37	152	285	352	
46	144	297	322	
31	161	309	315	
29	135	284	334	
29	138	312	358	
38	142	277	328	
33	160	290	322	
31	129	296	327	
40	159	285	353	
29	123	281	351	
40	158	267	343	
31	140	298	344	
31	149	299	351	
28	136	283	351	
42	147	266	301	
47	155	274	342	
27	146	300	331	
42	161	308	327	
35	135	283	329	
30	140	279	324	
34	155	299	359	
42	155	278	309	
46	157	256	357	
36	148	294	336	
37	169	287	326	
38	153	271	365	
